ay,ax,time,az,vz,vy,vx,comp
-0.006,0.061,17.86918067932129,1.023,-0.381,0.042,-0.168,-74.5641381125332
-0.0,0.029,17.871221780776978,1.01,-0.766,2.282,0.287,-74.5641381125332
-0.034,0.069,17.87159490585327,1.021,-0.696,-0.028,-0.553,-74.5641381125332
-0.002,0.02,17.87192988395691,1.01,-0.906,0.672,0.007,-74.5641381125332
-0.034,0.051,17.872257232666016,1.025,-0.486,-0.623,0.182,-74.5641381125332
-0.018,0.033,17.87256956100464,0.998,-0.591,0.042,0.042,-74.5641381125332
-0.006,0.041,17.872870683670044,0.996,-0.766,2.107,-0.658,-74.15532906917178
-0.016,0.04,17.87319326400757,1.006,-0.171,0.042,0.497,-74.15532906917178
-0.024,0.03,17.873507976531982,1.026,-0.101,3.122,0.252,-74.15532906917178
-0.016,0.027,17.87382459640503,1.009,-0.556,-0.623,-0.308,-74.15532906917178
-0.009,0.056,17.87410855293274,1.006,-0.311,1.197,-0.238,-74.15532906917178
-0.018,0.025,18.394105434417725,0.99,-0.591,0.322,0.672,-74.15532906917178
-0.01,0.025,18.396289110183716,1.001,-0.626,0.987,-0.063,-74.236624218238
-0.016,0.047,18.39665985107422,1.014,-0.626,1.477,0.322,-73.25787117056184
-0.016,0.039,18.396930694580078,1.014,-0.661,1.547,0.182,-73.25787117056184
-0.02,0.039,18.39717411994934,1.02,-0.556,1.092,0.322,-73.25787117056184
-0.01,0.015,18.397412061691284,1.008,-0.241,1.407,-0.063,-73.25787117056184
-0.022,0.033,18.39772343635559,1.015,-0.346,1.197,-0.063,-73.25787117056184
-0.01,0.03,18.398098468780518,1.009,-0.381,1.022,-0.798,-73.25787117056184
0.009,0.031,18.39848756790161,1.007,-0.836,0.287,0.322,-73.25787117056184
-0.011,0.029,18.398810625076294,1.023,-0.696,1.372,0.497,-73.25787117056184
-0.033,0.046,18.399078130722046,1.007,-0.241,1.512,-0.203,-73.25787117056184
-0.009,0.052,18.400293111801147,1.007,-0.486,0.917,-0.483,-73.25787117056184
-0.008,0.026,18.923360109329224,1.0,-0.136,1.407,-1.078,-73.25787117056184
-0.014,0.056,18.925634145736694,1.01,-0.451,2.002,-0.448,-73.35153776284511
-0.012,0.041,18.92602276802063,1.027,-0.451,2.002,-0.448,-73.35153776284511
-0.016,0.053,18.926388263702393,1.017,-0.241,1.022,0.077,-73.35153776284511
-0.014,0.014,18.926718711853027,1.008,-0.766,0.882,0.147,-73.35153776284511
-0.014,0.028,18.92703866958618,1.008,-0.311,0.882,0.147,-73.35153776284511
-0.028,0.052,18.9273521900177,1.01,-0.451,1.442,0.217,-73.35153776284511
-0.018,0.027,18.92766308784485,1.017,-0.591,1.512,-0.833,-73.35153776284511
-0.018,0.027,18.92797017097473,1.017,-0.696,0.917,-0.448,-73.35153776284511
-0.016,0.041,18.92828059196472,1.013,-0.276,1.232,0.252,-73.60816700942956
-0.013,0.04,18.92859935760498,1.015,-0.836,0.287,0.987,-73.60816700942956
-0.02,0.019,18.93053913116455,1.006,-0.591,1.652,0.497,-73.60816700942956
-0.014,0.039,19.48512101173401,1.011,-0.416,1.127,0.112,-73.60816700942956
0.0,0.064,19.487480640411377,1.009,-0.451,1.267,-0.238,-73.71223638618612
-0.021,0.036,19.487828493118286,1.019,-0.696,1.022,0.707,-73.36677588466586
-0.022,0.06,19.488104343414307,1.005,-0.696,-0.798,0.217,-73.36677588466586
-0.001,0.04,19.488383531570435,1.017,-0.696,-0.798,0.217,-73.36677588466586
-0.021,0.02,19.488651752471924,0.996,-0.591,1.407,-0.098,-73.36677588466586
-0.019,0.038,19.488900899887085,1.002,-0.696,1.267,0.147,-73.36677588466586
-0.013,0.058,19.489141702651978,1.02,-0.556,1.162,-0.378,-73.36677588466586
-0.003,0.034,19.489381551742554,1.023,-0.451,1.267,0.882,-73.36677588466586
-0.031,0.036,19.48962140083313,1.011,-0.241,1.337,0.357,-73.36677588466586
-0.019,0.049,19.489859104156494,1.015,-0.801,0.742,-0.168,-73.36677588466586
-0.015,0.032,20.04331398010254,1.011,-0.556,1.477,-0.028,-72.67160941907751
-0.033,0.023,20.04551863670349,0.999,-0.731,1.127,-0.728,-74.03760658773014
-0.025,0.063,20.045868158340454,1.024,-0.241,0.777,-0.518,-74.03760658773014
-0.018,0.04,20.046144247055054,1.047,0.179,2.947,-0.938,-74.03760658773014
-0.006,-0.017,20.046404361724854,0.987,-0.521,-0.483,-0.553,-74.03760658773014
-0.012,0.061,20.046656608581543,1.01,-0.906,0.602,0.847,-74.57309110546528
-0.008,0.055,20.046910047531128,1.029,-0.871,-0.308,1.442,-74.57309110546528
-0.039,-0.012,20.047215223312378,0.997,0.144,2.632,-0.483,-74.57309110546528
0.008,0.073,20.04750156402588,1.038,-0.871,-0.728,-0.588,-74.57309110546528
